,Name,Code,ICAO
0,21 Air,2I,CSB
1,25only Aviation,4Q,ONY
2,2Excel Aviation,,BRO
3,40-Mile Air,Q5,MLA
4,748 Air Services,FE,IHO
5,9 Air,AQ,JYH
6,Abakan Air,S5,NKP
7,ABS Jets,,ABP
8,Abu Dhabi Aviation,,BAR
9,ABX Air,GB,ABX
10,Acass Ireland,,SON
11,Advanced Air,AN,WSN
12,Aegean Airlines,A3,AEE
13,Aer Lingus,EI,EIN
14,Aer Lingus UK,EG,EUK
15,AerCaribe,JK,ACL
16,Aero,TD,BLK
17,Aero,N2,NIG
18,Aero Asahi Corporation,,AKF
19,Aero Charter,,GLT
20,Aero Charter and Transport,,CTA
21,Aero FlightOps UK,FO,UKA
22,Aero Guernsey,,AEO
23,Aero K,RF,EOK
24,Aero Mongolia,M0,MNG
25,Aero Nomad Airlines,KA,ANK
26,Aero Sotravia,,ASR
27,Aero-Beta Flight Training,,ABA
28,Aero-Dienst,,ADN
29,Aero-Service,,RSR
30,Aeroflot,SU,AFL
31,Aeroitalia,XZ,AEZ
32,Aerolineas Argentinas,AR,ARG
33,Aerolineas Ejecutivas,,LET
34,Aerolineas Sosa,P4,NSO
35,Aerolink Uganda,A8,XAU
36,AeroLogic,3S,BOX
37,Aeromar,VW,TAO
38,Aeromexico,AM,AMX
39,Aeromexico Connect,5D,SLI
40,Aeronaves TSM,,VTM
41,Aeropartner,,DFC
42,Aeroregional,,RER
43,Aeroservicios de la Costa,,TAA
44,Aerostan,,BSC
45,Aerosucre,,KRE
46,Aerosul Linhas Aereas,,ASO
47,Aerotec,,AEP
48,Aerotours,,ATU
49,Aerotranscargo,F5,ATG
50,AeroUnion,6R,TNO
51,Aerovias DAP,V5,DAP
52,Aerovis Airlines,,VIZ
53,Aerro Direkt,4D,DIR
54,AF-Aviation,,AFF
55,Afric Aviation,L8,EKG
56,Africa Airlines,,AAT
57,Africa Charter Airline,,FSK
58,Africa World Airlines,AW,AFW
59,African Express Airways,XU,AXK
60,Afrijet,J7,ABS
61,Afriqiyah Airways,8U,AAW
62,Air 1st Aviation,,RUF
63,Air Albania,ZB,ABN
64,Air Algerie,AH,DAH
65,Air Alliance,,AYY
66,Air Alsie,6I,MMD
67,Air Anka,TZ,TAH
68,Air Antilles,3S,GUY
69,Air Arabia,G9,ABY
70,Air Arabia Abu Dhabi,3L,ADY
71,Air Arabia Egypt,E5,RBG
