,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
0,1900,A Coruna Airport,LCG,LECO,A Coruna,43.302059,-8.37725,Spain,326,34866,"{'name': 'Europe/Madrid', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",209
1,3,Aachen Merzbruck Airport,AAH,EDKA,Aachen,50.823051,6.186111,Germany,623,12731,"{'name': 'Europe/Berlin', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",83
2,4,Aalborg Airport,AAL,EKYT,Aalborg,57.092781,9.849164,Denmark,10,78313,"{'name': 'Europe/Copenhagen', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",61
3,9,Aarhus Airport,AAR,EKAH,Aarhus,56.300011,10.619,Denmark,82,33628,"{'name': 'Europe/Copenhagen', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",61
4,7569,Aarhus Sea Airport,QEA,EKAC,Aarhus,56.151993,10.247725,Denmark,1,7237,"{'name': 'Europe/Copenhagen', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",61
5,1596,Aasiaat Airport,JEG,BGAA,Aasiaat,68.72184,-52.784698,Greenland,74,2573,"{'name': 'America/Godthab', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",87
6,12,Abadan Airport,ABD,OIAA,Abadan,30.371111,48.228329,Iran,19,10115,"{'name': 'Asia/Tehran', 'offset': 12600, 'offsetHours': '3:30', 'abbr': '+0330', 'abbrName': None, 'isDst': False}",104
7,11,Abakan International Airport,ABA,UNAA,Abakan,53.740002,91.385002,Russia,831,7887,"{'name': 'Asia/Krasnoyarsk', 'offset': 25200, 'offsetHours': '7:00', 'abbr': '+07', 'abbrName': None, 'isDst': False}",182
8,4146,Abbotsford International Airport,YXX,CYXX,Abbotsford,49.025269,-122.360001,Canada,195,70034,"{'name': 'America/Vancouver', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",40
9,27,Aberdeen International Airport,ABZ,EGPD,Aberdeen,57.201939,-2.19777,United Kingdom,215,205626,"{'name': 'Europe/London', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",235
10,20,Aberdeen Regional Airport,ABR,KABR,Aberdeen,45.439999,-98.419998,United States,1302,31110,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
11,80,Abha Regional Airport,AHB,OEAB,Abha,18.24036,42.65662,Saudi Arabia,6858,93036,"{'name': 'Asia/Riyadh', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",194
12,16,Abidjan Port Bouet Airport,ABJ,DIAP,Abidjan,5.261386,-3.92629,Cote D'ivoire (Ivory Coast),21,77925,"{'name': 'Africa/Abidjan', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",54
13,15,Abilene Regional Airport,ABI,KABI,Abilene,32.411301,-99.681801,United States,1790,52882,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
14,7403,Abingdon Virginia Highlands Airport,VJI,KVJI,Abingdon,36.686111,-82.033333,United States,2088,8677,"{'name': 'America/New_York', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",236
15,251,Abu Dhabi Al Bateen Executive Airport,AZI,OMAD,Abu Dhabi,24.428329,54.45808,United Arab Emirates,16,20095,"{'name': 'Asia/Dubai', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",234
16,6183,Abu Dhabi Al Dhafra Air Base,DHF,OMAM,Abu Dhabi,24.248199,54.547699,United Arab Emirates,77,2749,"{'name': 'Asia/Dubai', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",234
